"Year","Month","average_monthly_discharge","day","date"
2000,1,1579.67741935484,"01",2000-01-01
2000,2,1567.58620689655,"01",2000-02-01
2000,3,1499.67741935484,"01",2000-03-01
2000,4,2161.33333333333,"01",2000-04-01
2000,5,2492.25806451613,"01",2000-05-01
2000,6,1849.66666666667,"01",2000-06-01
2000,7,2242.25806451613,"01",2000-07-01
2000,8,1937.74193548387,"01",2000-08-01
2000,9,1465.33333333333,"01",2000-09-01
2000,10,1289.35483870968,"01",2000-10-01
2000,11,1089.13333333333,"01",2000-11-01
2000,12,1106.09677419355,"01",2000-12-01
2001,1,1181.8064516129,"01",2001-01-01
2001,2,1264.5,"01",2001-02-01
2001,3,1168.70967741935,"01",2001-03-01
2001,4,1380.33333333333,"01",2001-04-01
2001,5,1582.25806451613,"01",2001-05-01
2001,6,1928,"01",2001-06-01
2001,7,2161.29032258065,"01",2001-07-01
2001,8,2110,"01",2001-08-01
2001,9,1245.83333333333,"01",2001-09-01
2001,10,862.225806451613,"01",2001-10-01
2001,11,818.766666666667,"01",2001-11-01
2001,12,826.645161290323,"01",2001-12-01
2002,1,803.064516129032,"01",2002-01-01
2002,2,771.357142857143,"01",2002-02-01
2002,3,780.483870967742,"01",2002-03-01
2002,4,1264.26666666667,"01",2002-04-01
2002,5,2067.74193548387,"01",2002-05-01
2002,6,1665.33333333333,"01",2002-06-01
2002,7,1880,"01",2002-07-01
2002,8,1765.48387096774,"01",2002-08-01
2002,9,1512,"01",2002-09-01
2002,10,957.548387096774,"01",2002-10-01
2002,11,844.733333333333,"01",2002-11-01
2002,12,837.225806451613,"01",2002-12-01
2003,1,743.806451612903,"01",2003-01-01
2003,2,795.75,"01",2003-02-01
2003,3,819.935483870968,"01",2003-03-01
2003,4,1311.56666666667,"01",2003-04-01
2003,5,1584.51612903226,"01",2003-05-01
2003,6,1545.33333333333,"01",2003-06-01
2003,7,2298.70967741935,"01",2003-07-01
2003,8,2400.96774193548,"01",2003-08-01
2003,9,1573.33333333333,"01",2003-09-01
2003,10,876.193548387097,"01",2003-10-01
2003,11,690.266666666667,"01",2003-11-01
2003,12,668.741935483871,"01",2003-12-01
2004,1,854.290322580645,"01",2004-01-01
2004,2,832.068965517241,"01",2004-02-01
2004,3,959.064516129032,"01",2004-03-01
2004,4,1450,"01",2004-04-01
2004,5,1500.64516129032,"01",2004-05-01
2004,6,1939,"01",2004-06-01
2004,7,2040.96774193548,"01",2004-07-01
2004,8,1981.61290322581,"01",2004-08-01
2004,9,1424.66666666667,"01",2004-09-01
2004,10,995.032258064516,"01",2004-10-01
2004,11,963.8,"01",2004-11-01
2004,12,1007.96774193548,"01",2004-12-01
2005,1,939.806451612903,"01",2005-01-01
2005,2,910.75,"01",2005-02-01
2005,3,931.483870967742,"01",2005-03-01
2005,4,1371.06666666667,"01",2005-04-01
2005,5,2144.83870967742,"01",2005-05-01
2005,6,2072.66666666667,"01",2005-06-01
2005,7,2171.93548387097,"01",2005-07-01
2005,8,1686.12903225806,"01",2005-08-01
2005,9,1420,"01",2005-09-01
2005,10,1108.38709677419,"01",2005-10-01
2005,11,1181.33333333333,"01",2005-11-01
2005,12,1188.70967741935,"01",2005-12-01
2006,1,1143.87096774194,"01",2006-01-01
2006,2,1120.32142857143,"01",2006-02-01
2006,3,1152.25806451613,"01",2006-03-01
2006,4,2279.66666666667,"01",2006-04-01
2006,5,3967.74193548387,"01",2006-05-01
2006,6,2389.66666666667,"01",2006-06-01
2006,7,2164.83870967742,"01",2006-07-01
2006,8,1891.93548387097,"01",2006-08-01
2006,9,1493.33333333333,"01",2006-09-01
2006,10,1219.67741935484,"01",2006-10-01
2006,11,1223.33333333333,"01",2006-11-01
2006,12,1291.93548387097,"01",2006-12-01
2007,1,1394.06451612903,"01",2007-01-01
2007,2,1303.92857142857,"01",2007-02-01
2007,3,1474.51612903226,"01",2007-03-01
2007,4,1922,"01",2007-04-01
2007,5,1774.83870967742,"01",2007-05-01
2007,6,1970.66666666667,"01",2007-06-01
2007,7,2404.51612903226,"01",2007-07-01
2007,8,2071.93548387097,"01",2007-08-01
2007,9,1915,"01",2007-09-01
2007,10,1036.12903225806,"01",2007-10-01
2007,11,857.033333333333,"01",2007-11-01
2007,12,818.193548387097,"01",2007-12-01
2008,1,1023.29032258065,"01",2008-01-01
2008,2,1000.13793103448,"01",2008-02-01
2008,3,950.387096774194,"01",2008-03-01
2008,4,1047.9,"01",2008-04-01
2008,5,2761.61290322581,"01",2008-05-01
2008,6,2567.66666666667,"01",2008-06-01
2008,7,1880,"01",2008-07-01
2008,8,1828.70967741935,"01",2008-08-01
2008,9,1583,"01",2008-09-01
2008,10,1208.06451612903,"01",2008-10-01
2008,11,1069.6,"01",2008-11-01
2008,12,1083.06451612903,"01",2008-12-01
2009,1,1110.03225806452,"01",2009-01-01
2009,2,1097.85714285714,"01",2009-02-01
2009,3,1156.64516129032,"01",2009-03-01
2009,4,1562,"01",2009-04-01
2009,5,2826.12903225806,"01",2009-05-01
2009,6,1919.33333333333,"01",2009-06-01
2009,7,1861.29032258065,"01",2009-07-01
2009,8,1645.16129032258,"01",2009-08-01
2009,9,1426,"01",2009-09-01
2009,10,1101.22580645161,"01",2009-10-01
2009,11,981.4,"01",2009-11-01
2009,12,1166.29032258065,"01",2009-12-01
2010,1,1144.96774193548,"01",2010-01-01
2010,2,1131.07142857143,"01",2010-02-01
2010,3,1132.58064516129,"01",2010-03-01
2010,4,1243,"01",2010-04-01
2010,5,1560.32258064516,"01",2010-05-01
2010,6,2151.66666666667,"01",2010-06-01
2010,7,1905.16129032258,"01",2010-07-01
2010,8,1869.35483870968,"01",2010-08-01
2010,9,1252.66666666667,"01",2010-09-01
2010,10,1007.32258064516,"01",2010-10-01
2010,11,886.466666666667,"01",2010-11-01
2010,12,1164.90322580645,"01",2010-12-01
2011,1,1210.64516129032,"01",2011-01-01
2011,2,1132.10714285714,"01",2011-02-01
2011,3,1088.70967741935,"01",2011-03-01
2011,4,1337.33333333333,"01",2011-04-01
2011,5,3712.58064516129,"01",2011-05-01
