"Year","Month","average_monthly_discharge","day","date"
2000,1,498.258064516129,"01",2000-01-01
2000,2,970.379310344828,"01",2000-02-01
2000,3,1763.1935483871,"01",2000-03-01
2000,4,2295.36666666667,"01",2000-04-01
2000,5,1394.70967741935,"01",2000-05-01
2000,6,1010.5,"01",2000-06-01
2000,7,322.096774193548,"01",2000-07-01
2000,8,371.903225806452,"01",2000-08-01
2000,9,207.433333333333,"01",2000-09-01
2000,10,210,"01",2000-10-01
2000,11,359.533333333333,"01",2000-11-01
2000,12,498.129032258065,"01",2000-12-01
2001,1,500.193548387097,"01",2001-01-01
2001,2,910.25,"01",2001-02-01
2001,3,1794.45161290323,"01",2001-03-01
2001,4,2667.83333333333,"01",2001-04-01
2001,5,440.741935483871,"01",2001-05-01
2001,6,376.066666666667,"01",2001-06-01
2001,7,221.354838709677,"01",2001-07-01
2001,8,218.258064516129,"01",2001-08-01
2001,9,216.4,"01",2001-09-01
2001,10,212.354838709677,"01",2001-10-01
2001,11,356.966666666667,"01",2001-11-01
2001,12,493.354838709677,"01",2001-12-01
2002,1,488.58064516129,"01",2002-01-01
2002,2,436.214285714286,"01",2002-02-01
2002,3,212.354838709677,"01",2002-03-01
2002,4,521.966666666667,"01",2002-04-01
2002,5,2379.25806451613,"01",2002-05-01
2002,6,622,"01",2002-06-01
2002,7,205.096774193548,"01",2002-07-01
2002,8,206.774193548387,"01",2002-08-01
2002,9,205.433333333333,"01",2002-09-01
2002,10,269.903225806452,"01",2002-10-01
2002,11,1246,"01",2002-11-01
2002,12,1300.96774193548,"01",2002-12-01
2003,1,2159.93548387097,"01",2003-01-01
2003,2,985,"01",2003-02-01
2003,3,3781.83870967742,"01",2003-03-01
2003,4,2218.7,"01",2003-04-01
2003,5,3052.1935483871,"01",2003-05-01
2003,6,3548.16666666667,"01",2003-06-01
2003,7,366.096774193548,"01",2003-07-01
2003,8,669.903225806452,"01",2003-08-01
2003,9,1823.93333333333,"01",2003-09-01
2003,10,1076.22580645161,"01",2003-10-01
2003,11,2284.56666666667,"01",2003-11-01
2003,12,3124.58064516129,"01",2003-12-01
2004,1,1829.64516129032,"01",2004-01-01
