"Year","Month","average_monthly_discharge","day","date"
2000,1,69.2903225806452,"01",2000-01-01
2000,2,80.6206896551724,"01",2000-02-01
2000,3,122.709677419355,"01",2000-03-01
2000,4,136.666666666667,"01",2000-04-01
2000,5,84.1935483870968,"01",2000-05-01
2000,6,40.4333333333333,"01",2000-06-01
2000,7,35.0645161290323,"01",2000-07-01
2000,8,28.9677419354839,"01",2000-08-01
2000,9,37.9,"01",2000-09-01
2000,10,24.5161290322581,"01",2000-10-01
2000,11,36.0666666666667,"01",2000-11-01
2000,12,44.9354838709677,"01",2000-12-01
2001,1,44.4838709677419,"01",2001-01-01
2001,2,49,"01",2001-02-01
2001,3,142.387096774194,"01",2001-03-01
2001,4,76.9333333333333,"01",2001-04-01
2001,5,36.0645161290323,"01",2001-05-01
2001,6,36.3333333333333,"01",2001-06-01
2001,7,47.9032258064516,"01",2001-07-01
2001,8,30.7741935483871,"01",2001-08-01
2001,9,41.5,"01",2001-09-01
2001,10,36.2258064516129,"01",2001-10-01
2001,11,36.3566666666667,"01",2001-11-01
2001,12,42.2806451612903,"01",2001-12-01
2002,1,72.1322580645161,"01",2002-01-01
2002,2,67.4142857142857,"01",2002-02-01
2002,3,106.38064516129,"01",2002-03-01
2002,4,56.79,"01",2002-04-01
2002,5,35.8193548387097,"01",2002-05-01
2002,6,20.78,"01",2002-06-01
2002,7,14.4896774193548,"01",2002-07-01
2002,8,12.5032258064516,"01",2002-08-01
2002,9,46.0906666666667,"01",2002-09-01
2002,10,66.3483870967742,"01",2002-10-01
2002,11,130.836666666667,"01",2002-11-01
2002,12,196.41935483871,"01",2002-12-01
2003,1,96.2032258064516,"01",2003-01-01
2003,2,166.403571428571,"01",2003-02-01
2003,3,278.838709677419,"01",2003-03-01
2003,4,457.6,"01",2003-04-01
2003,5,312.645161290323,"01",2003-05-01
2003,6,282.933333333333,"01",2003-06-01
2003,7,191,"01",2003-07-01
2003,8,236.451612903226,"01",2003-08-01
2003,9,110.123333333333,"01",2003-09-01
2003,10,94.4354838709677,"01",2003-10-01
2003,11,108.293333333333,"01",2003-11-01
2003,12,135.929032258065,"01",2003-12-01
2004,1,85.0451612903226,"01",2004-01-01
2004,2,188.28275862069,"01",2004-02-01
2004,3,100.48064516129,"01",2004-03-01
2004,4,126.786666666667,"01",2004-04-01
2004,5,78.8838709677419,"01",2004-05-01
2004,6,85,"01",2004-06-01
2004,7,68.2258064516129,"01",2004-07-01
2004,8,67.8290322580645,"01",2004-08-01
2004,9,406.783333333333,"01",2004-09-01
2004,10,103.477419354839,"01",2004-10-01
2004,11,159.633333333333,"01",2004-11-01
2004,12,206.41935483871,"01",2004-12-01
2005,1,131.41935483871,"01",2005-01-01
2005,2,114.457142857143,"01",2005-02-01
2005,3,200.612903225806,"01",2005-03-01
2005,4,175.866666666667,"01",2005-04-01
2005,5,106.332258064516,"01",2005-05-01
2005,6,108.083333333333,"01",2005-06-01
2005,7,149.729032258065,"01",2005-07-01
2005,8,128.345161290323,"01",2005-08-01
2005,9,58.23,"01",2005-09-01
2005,10,164.438709677419,"01",2005-10-01
2005,11,80.7033333333333,"01",2005-11-01
2005,12,138.177419354839,"01",2005-12-01
2006,1,143,"01",2006-01-01
2006,2,95.4928571428571,"01",2006-02-01
2006,3,80.2612903225806,"01",2006-03-01
2006,4,84.4066666666667,"01",2006-04-01
2006,5,59.7387096774194,"01",2006-05-01
2006,6,54.2966666666667,"01",2006-06-01
2006,7,35.1870967741935,"01",2006-07-01
2006,8,73.841935483871,"01",2006-08-01
2006,9,134.833333333333,"01",2006-09-01
2006,10,73.741935483871,"01",2006-10-01
2006,11,143.66,"01",2006-11-01
2006,12,138.667741935484,"01",2006-12-01
2007,1,256.290322580645,"01",2007-01-01
2007,2,97.2392857142857,"01",2007-02-01
2007,3,191.061290322581,"01",2007-03-01
2007,4,96.5133333333333,"01",2007-04-01
2007,5,67.6838709677419,"01",2007-05-01
2007,6,54.5133333333333,"01",2007-06-01
2007,7,37.5064516129032,"01",2007-07-01
2007,8,23.2935483870968,"01",2007-08-01
2007,9,25.0733333333333,"01",2007-09-01
2007,10,26.5032258064516,"01",2007-10-01
2007,11,32.7533333333333,"01",2007-11-01
2007,12,52.3290322580645,"01",2007-12-01
2008,1,45.3161290322581,"01",2008-01-01
2008,2,82.2586206896552,"01",2008-02-01
2008,3,105.51935483871,"01",2008-03-01
2008,4,86.3766666666667,"01",2008-04-01
2008,5,41.7354838709677,"01",2008-05-01
2008,6,23.0533333333333,"01",2008-06-01
2008,7,34.7096774193548,"01",2008-07-01
2008,8,51.5129032258065,"01",2008-08-01
2008,9,41.3433333333333,"01",2008-09-01
2008,10,35.3258064516129,"01",2008-10-01
2008,11,37.1133333333333,"01",2008-11-01
2008,12,88.6741935483871,"01",2008-12-01
2009,1,119.154838709677,"01",2009-01-01
2009,2,52.6857142857143,"01",2009-02-01
2009,3,171.106451612903,"01",2009-03-01
2009,4,145.666666666667,"01",2009-04-01
2009,5,160.248387096774,"01",2009-05-01
2009,6,126.806666666667,"01",2009-06-01
2009,7,54.6258064516129,"01",2009-07-01
2009,8,60.9129032258065,"01",2009-08-01
2009,9,88.2433333333333,"01",2009-09-01
2009,10,68.3129032258065,"01",2009-10-01
2009,11,217.393333333333,"01",2009-11-01
2009,12,312.296774193548,"01",2009-12-01
2010,1,335.193548387097,"01",2010-01-01
2010,2,319.892857142857,"01",2010-02-01
2010,3,220.741935483871,"01",2010-03-01
2010,4,147.033333333333,"01",2010-04-01
2010,5,114.941935483871,"01",2010-05-01
2010,6,95.51,"01",2010-06-01
2010,7,57.6161290322581,"01",2010-07-01
2010,8,54.3612903225806,"01",2010-08-01
2010,9,36.1533333333333,"01",2010-09-01
2010,10,62.6451612903226,"01",2010-10-01
2010,11,50.32,"01",2010-11-01
2010,12,110.374193548387,"01",2010-12-01
2011,1,57.9806451612903,"01",2011-01-01
2011,2,67.8571428571429,"01",2011-02-01
2011,3,208.422580645161,"01",2011-03-01
2011,4,130.05,"01",2011-04-01
2011,5,74.1774193548387,"01",2011-05-01
2011,6,39.729,"01",2011-06-01
2011,7,28.4387096774194,"01",2011-07-01
2011,8,23.7612903225806,"01",2011-08-01
2011,9,36.8866666666667,"01",2011-09-01
2011,10,35.1967741935484,"01",2011-10-01
2011,11,73.4366666666667,"01",2011-11-01
2011,12,117.729032258065,"01",2011-12-01
2012,1,97.1806451612903,"01",2012-01-01
2012,2,68.6793103448276,"01",2012-02-01
2012,3,77.2193548387097,"01",2012-03-01
2012,4,73.8133333333333,"01",2012-04-01
2012,5,138.138709677419,"01",2012-05-01
2012,6,43.2933333333333,"01",2012-06-01
2012,7,40.4258064516129,"01",2012-07-01
2012,8,39.3064516129032,"01",2012-08-01
