"Year","Month","average_monthly_discharge","day","date"
2000,1,502.354838709677,"01",2000-01-01
2000,2,482.51724137931,"01",2000-02-01
2000,3,705.806451612903,"01",2000-03-01
2000,4,636.733333333333,"01",2000-04-01
2000,5,344.58064516129,"01",2000-05-01
2000,6,241.966666666667,"01",2000-06-01
2000,7,84.6225806451613,"01",2000-07-01
2000,8,214.258064516129,"01",2000-08-01
2000,9,202.233333333333,"01",2000-09-01
2000,10,164.903225806452,"01",2000-10-01
2000,11,289.066666666667,"01",2000-11-01
2000,12,345.225806451613,"01",2000-12-01
2001,1,391.645161290323,"01",2001-01-01
2001,2,374.535714285714,"01",2001-02-01
2001,3,577.41935483871,"01",2001-03-01
2001,4,410.9,"01",2001-04-01
2001,5,287,"01",2001-05-01
2001,6,265.933333333333,"01",2001-06-01
2001,7,325.258064516129,"01",2001-07-01
2001,8,194.258064516129,"01",2001-08-01
2001,9,313.966666666667,"01",2001-09-01
2001,10,204.116129032258,"01",2001-10-01
2001,11,215.133333333333,"01",2001-11-01
2001,12,328.645161290323,"01",2001-12-01
2002,1,538.774193548387,"01",2002-01-01
2002,2,460.392857142857,"01",2002-02-01
2002,3,503.870967741935,"01",2002-03-01
2002,4,466.666666666667,"01",2002-04-01
2002,5,446.322580645161,"01",2002-05-01
2002,6,249.3,"01",2002-06-01
2002,7,187.264516129032,"01",2002-07-01
2002,8,107.851612903226,"01",2002-08-01
2002,9,327.926666666667,"01",2002-09-01
2002,10,433.838709677419,"01",2002-10-01
2002,11,616.8,"01",2002-11-01
2002,12,1069.41935483871,"01",2002-12-01
2003,1,573.806451612903,"01",2003-01-01
2003,2,789.142857142857,"01",2003-02-01
2003,3,1408.61290322581,"01",2003-03-01
2003,4,1075.06666666667,"01",2003-04-01
2003,5,1569.09677419355,"01",2003-05-01
2003,6,1185.23333333333,"01",2003-06-01
2003,7,1350.58064516129,"01",2003-07-01
2003,8,1049.35483870968,"01",2003-08-01
2003,9,585.533333333333,"01",2003-09-01
2003,10,486.096774193548,"01",2003-10-01
2003,11,638.966666666667,"01",2003-11-01
2003,12,846.451612903226,"01",2003-12-01
2004,1,543.032258064516,"01",2004-01-01
2004,2,957.310344827586,"01",2004-02-01
2004,3,543.483870967742,"01",2004-03-01
2004,4,470.266666666667,"01",2004-04-01
2004,5,428.322580645161,"01",2004-05-01
2004,6,482.933333333333,"01",2004-06-01
2004,7,572.838709677419,"01",2004-07-01
2004,8,482.193548387097,"01",2004-08-01
2004,9,2299.3,"01",2004-09-01
2004,10,726.354838709677,"01",2004-10-01
2004,11,956.166666666667,"01",2004-11-01
2004,12,1597.09677419355,"01",2004-12-01
2005,1,931.032258064516,"01",2005-01-01
2005,2,853.75,"01",2005-02-01
2005,3,1162.96774193548,"01",2005-03-01
2005,4,1140.26666666667,"01",2005-04-01
2005,5,756.741935483871,"01",2005-05-01
2005,6,1156.46666666667,"01",2005-06-01
2005,7,1735.67741935484,"01",2005-07-01
2005,8,798.677419354839,"01",2005-08-01
2005,9,422.933333333333,"01",2005-09-01
2005,10,396.548387096774,"01",2005-10-01
2005,11,377.833333333333,"01",2005-11-01
2005,12,665,"01",2005-12-01
2006,1,811.032258064516,"01",2006-01-01
2006,2,643.857142857143,"01",2006-02-01
2006,3,481.612903225806,"01",2006-03-01
2006,4,437.466666666667,"01",2006-04-01
2006,5,339.354838709677,"01",2006-05-01
2006,6,565.033333333333,"01",2006-06-01
2006,7,347.129032258065,"01",2006-07-01
2006,8,366.903225806452,"01",2006-08-01
2006,9,497.833333333333,"01",2006-09-01
2006,10,479.806451612903,"01",2006-10-01
2006,11,551.766666666667,"01",2006-11-01
2006,12,727.709677419355,"01",2006-12-01
2007,1,1444.74193548387,"01",2007-01-01
2007,2,664.428571428571,"01",2007-02-01
2007,3,1233.12903225806,"01",2007-03-01
2007,4,597.066666666667,"01",2007-04-01
2007,5,457.677419354839,"01",2007-05-01
2007,6,326.666666666667,"01",2007-06-01
2007,7,312.870967741935,"01",2007-07-01
2007,8,249.806451612903,"01",2007-08-01
2007,9,152.5,"01",2007-09-01
2007,10,146.032258064516,"01",2007-10-01
2007,11,180.7,"01",2007-11-01
2007,12,336.838709677419,"01",2007-12-01
2008,1,437.645161290323,"01",2008-01-01
2008,2,483.586206896552,"01",2008-02-01
2008,3,612.935483870968,"01",2008-03-01
2008,4,550.8,"01",2008-04-01
2008,5,348.483870967742,"01",2008-05-01
2008,6,138.32,"01",2008-06-01
2008,7,102.364516129032,"01",2008-07-01
2008,8,141.896774193548,"01",2008-08-01
2008,9,123.24,"01",2008-09-01
2008,10,139.035483870968,"01",2008-10-01
2008,11,142.3,"01",2008-11-01
2008,12,445.129032258065,"01",2008-12-01
2009,1,554.354838709677,"01",2009-01-01
2009,2,288.142857142857,"01",2009-02-01
2009,3,800.290322580645,"01",2009-03-01
2009,4,817.5,"01",2009-04-01
2009,5,701.161290322581,"01",2009-05-01
2009,6,513.633333333333,"01",2009-06-01
2009,7,247.193548387097,"01",2009-07-01
2009,8,180.767741935484,"01",2009-08-01
2009,9,415.5,"01",2009-09-01
2009,10,544.903225806452,"01",2009-10-01
2009,11,1057.06666666667,"01",2009-11-01
2009,12,1573.45161290323,"01",2009-12-01
2010,1,1527.48387096774,"01",2010-01-01
2010,2,1697.92857142857,"01",2010-02-01
2010,3,1006.83870967742,"01",2010-03-01
2010,4,853.4,"01",2010-04-01
2010,5,811.645161290323,"01",2010-05-01
2010,6,729.8,"01",2010-06-01
2010,7,399.483870967742,"01",2010-07-01
2010,8,417.967741935484,"01",2010-08-01
2010,9,257.166666666667,"01",2010-09-01
2010,10,291.806451612903,"01",2010-10-01
2010,11,325.133333333333,"01",2010-11-01
2010,12,734.354838709677,"01",2010-12-01
2011,1,496.322580645161,"01",2011-01-01
2011,2,666.392857142857,"01",2011-02-01
2011,3,1418.35483870968,"01",2011-03-01
2011,4,985.633333333333,"01",2011-04-01
2011,5,460.322580645161,"01",2011-05-01
2011,6,324.333333333333,"01",2011-06-01
2011,7,332.677419354839,"01",2011-07-01
2011,8,217.387096774194,"01",2011-08-01
2011,9,228.966666666667,"01",2011-09-01
2011,10,179.058064516129,"01",2011-10-01
2011,11,384.766666666667,"01",2011-11-01
2011,12,755.41935483871,"01",2011-12-01
2012,1,714.709677419355,"01",2012-01-01
2012,2,466.379310344828,"01",2012-02-01
2012,3,563.612903225806,"01",2012-03-01
2012,4,576,"01",2012-04-01
2012,5,608.354838709677,"01",2012-05-01
2012,6,351.266666666667,"01",2012-06-01
2012,7,515.548387096774,"01",2012-07-01
2012,8,932.129032258065,"01",2012-08-01
2012,9,466.7,"01",2012-09-01
2012,10,467.322580645161,"01",2012-10-01
2012,11,269.933333333333,"01",2012-11-01
2012,12,529.709677419355,"01",2012-12-01
2013,1,1291.64516129032,"01",2013-01-01
2013,2,973.5,"01",2013-02-01
2013,3,989.903225806452,"01",2013-03-01
2013,4,1124.43333333333,"01",2013-04-01
2013,5,1494.74193548387,"01",2013-05-01
2013,6,1260.13333333333,"01",2013-06-01
2013,7,2249.22580645161,"01",2013-07-01
2013,8,2117.74193548387,"01",2013-08-01
2013,9,1081.23333333333,"01",2013-09-01
2013,10,746.41935483871,"01",2013-10-01
2013,11,807.7,"01",2013-11-01
2013,12,1477.12903225806,"01",2013-12-01
2014,1,1348.58064516129,"01",2014-01-01
2014,2,969.964285714286,"01",2014-02-01
2014,3,942.870967741935,"01",2014-03-01
2014,4,1233.53333333333,"01",2014-04-01
2014,5,796.516129032258,"01",2014-05-01
2014,6,643.866666666667,"01",2014-06-01
2014,7,557,"01",2014-07-01
2014,8,556.612903225806,"01",2014-08-01
2014,9,402.6,"01",2014-09-01
2014,10,471.290322580645,"01",2014-10-01
2014,11,502.633333333333,"01",2014-11-01
2014,12,546.677419354839,"01",2014-12-01
2015,1,809.806451612903,"01",2015-01-01
2015,2,683,"01",2015-02-01
2015,3,664.096774193548,"01",2015-03-01
2015,4,948.533333333333,"01",2015-04-01
2015,5,490.322580645161,"01",2015-05-01
2015,6,400,"01",2015-06-01
2015,7,251.838709677419,"01",2015-07-01
2015,8,257.870967741935,"01",2015-08-01
2015,9,247.333333333333,"01",2015-09-01
2015,10,709.225806451613,"01",2015-10-01
2015,11,1280.4,"01",2015-11-01
2015,12,1831.25806451613,"01",2015-12-01
2016,1,1463.22580645161,"01",2016-01-01
2016,2,1364.06896551724,"01",2016-02-01
2016,3,942.806451612903,"01",2016-03-01
2016,4,679.566666666667,"01",2016-04-01
2016,5,626.548387096774,"01",2016-05-01
2016,6,360.466666666667,"01",2016-06-01
2016,7,238.774193548387,"01",2016-07-01
2016,8,328.225806451613,"01",2016-08-01
2016,9,169.6,"01",2016-09-01
2016,10,149.633333333333,"01",2016-10-01
2016,11,193.966666666667,"01",2016-11-01
2016,12,321.58064516129,"01",2016-12-01
2017,1,478.645161290323,"01",2017-01-01
2017,2,317.821428571429,"01",2017-02-01
2017,3,371.774193548387,"01",2017-03-01
2017,4,905.133333333333,"01",2017-04-01
2017,5,852.806451612903,"01",2017-05-01
2017,6,534.933333333333,"01",2017-06-01
2017,7,465.741935483871,"01",2017-07-01
2017,8,410.996774193548,"01",2017-08-01
2017,9,389.866666666667,"01",2017-09-01
2017,10,697.709677419355,"01",2017-10-01
2017,11,494.233333333333,"01",2017-11-01
2017,12,452.903225806452,"01",2017-12-01
2018,1,652.129032258065,"01",2018-01-01
2018,2,1514.32142857143,"01",2018-02-01
2018,3,875.354838709677,"01",2018-03-01
2018,4,836.433333333333,"01",2018-04-01
2018,5,1207.38709677419,"01",2018-05-01
2018,6,1000.4,"01",2018-06-01
2018,7,642.41935483871,"01",2018-07-01
2018,8,1198.1935483871,"01",2018-08-01
2018,9,513.2,"01",2018-09-01
2018,10,739.161290322581,"01",2018-10-01
2018,11,1486.16666666667,"01",2018-11-01
2018,12,2198.06451612903,"01",2018-12-01
2019,1,2160.96774193548,"01",2019-01-01
2019,2,2256.78571428571,"01",2019-02-01
2019,3,1777.09677419355,"01",2019-03-01
2019,4,1513.96666666667,"01",2019-04-01
2019,5,993.129032258065,"01",2019-05-01
2019,6,923.033333333333,"01",2019-06-01
2019,7,524,"01",2019-07-01
2019,8,444.838709677419,"01",2019-08-01
2019,9,270.966666666667,"01",2019-09-01
2019,10,380.483870967742,"01",2019-10-01
2019,11,663.5,"01",2019-11-01
2019,12,887.451612903226,"01",2019-12-01
2020,1,1589.83870967742,"01",2020-01-01
2020,2,2893.58620689655,"01",2020-02-01
2020,3,1404.45161290323,"01",2020-03-01
2020,4,1442.1,"01",2020-04-01
2020,5,2180.64516129032,"01",2020-05-01
2020,6,1008.7,"01",2020-06-01
2020,7,709.387096774194,"01",2020-07-01
2020,8,831.290322580645,"01",2020-08-01
2020,9,903.5,"01",2020-09-01
2020,10,1026.32258064516,"01",2020-10-01
2020,11,1059.93333333333,"01",2020-11-01
2020,12,1037.58064516129,"01",2020-12-01
2021,1,1142.29032258065,"01",2021-01-01
2021,2,1167.71428571429,"01",2021-02-01
2021,3,1759,"01",2021-03-01
2021,4,1331.93333333333,"01",2021-04-01
2021,5,843.903225806452,"01",2021-05-01
2021,6,616.566666666667,"01",2021-06-01
2021,7,601.516129032258,"01",2021-07-01
2021,8,580.935483870968,"01",2021-08-01
2021,9,518.433333333333,"01",2021-09-01
2021,10,1130.41935483871,"01",2021-10-01
2021,11,444.666666666667,"01",2021-11-01
2021,12,492.548387096774,"01",2021-12-01
