"Year","Month","average_monthly_discharge","day","date"
2010,6,2898.33333333333,"01",2010-06-01
2010,7,2172.25806451613,"01",2010-07-01
2010,8,2237.41935483871,"01",2010-08-01
2010,9,1915.66666666667,"01",2010-09-01
2010,10,5436.45161290323,"01",2010-10-01
2010,11,5680.66666666667,"01",2010-11-01
2010,12,7844.1935483871,"01",2010-12-01
2011,1,3849.67741935484,"01",2011-01-01
2011,2,3428.57142857143,"01",2011-02-01
2011,3,5279.67741935484,"01",2011-03-01
2011,4,11875.6666666667,"01",2011-04-01
2011,5,11131.2903225806,"01",2011-05-01
2011,6,4426,"01",2011-06-01
2011,7,2118.70967741935,"01",2011-07-01
2011,8,4095.8064516129,"01",2011-08-01
2011,9,4471,"01",2011-09-01
2011,10,6353.87096774194,"01",2011-10-01
2011,11,4558.33333333333,"01",2011-11-01
2011,12,4586.77419354839,"01",2011-12-01
2012,1,3299.67741935484,"01",2012-01-01
2012,2,2709.31034482759,"01",2012-02-01
2012,3,5898.38709677419,"01",2012-03-01
2012,4,4234,"01",2012-04-01
2012,5,5027.74193548387,"01",2012-05-01
2012,6,7811.33333333333,"01",2012-06-01
2012,7,2558.70967741935,"01",2012-07-01
2012,8,2964.51612903226,"01",2012-08-01
2012,9,2867.66666666667,"01",2012-09-01
2012,10,4763.54838709677,"01",2012-10-01
2012,11,3937.33333333333,"01",2012-11-01
2012,12,4076.77419354839,"01",2012-12-01
2013,1,3537.09677419355,"01",2013-01-01
2013,2,4117.85714285714,"01",2013-02-01
2013,3,4536.45161290323,"01",2013-03-01
2013,4,8486.33333333333,"01",2013-04-01
2013,5,7027.41935483871,"01",2013-05-01
2013,6,5915.33333333333,"01",2013-06-01
2013,7,5552.58064516129,"01",2013-07-01
2013,8,2786.45161290323,"01",2013-08-01
2013,9,3392,"01",2013-09-01
2013,10,2201.93548387097,"01",2013-10-01
2013,11,2754.5,"01",2013-11-01
2013,12,2510.32258064516,"01",2013-12-01
2014,1,3779.03225806452,"01",2014-01-01
2014,2,3036.78571428571,"01",2014-02-01
2014,3,2977.41935483871,"01",2014-03-01
2014,4,10681,"01",2014-04-01
2014,5,9390,"01",2014-05-01
2014,6,4545,"01",2014-06-01
2014,7,3869.03225806452,"01",2014-07-01
2014,8,3196.12903225806,"01",2014-08-01
2014,9,1880,"01",2014-09-01
2014,10,3648.06451612903,"01",2014-10-01
2014,11,3054,"01",2014-11-01
2014,12,4220.64516129032,"01",2014-12-01
2015,1,3767.74193548387,"01",2015-01-01
2015,2,3391.42857142857,"01",2015-02-01
2015,3,2729.03225806452,"01",2015-03-01
2015,4,8472.66666666667,"01",2015-04-01
2015,5,4016.77419354839,"01",2015-05-01
2015,6,6998.66666666667,"01",2015-06-01
2015,7,3030.96774193548,"01",2015-07-01
2015,8,2213.54838709677,"01",2015-08-01
2015,9,1620.33333333333,"01",2015-09-01
2015,10,2713.54838709677,"01",2015-10-01
2015,11,2481.66666666667,"01",2015-11-01
2015,12,3589.35483870968,"01",2015-12-01
2016,1,4372.25806451613,"01",2016-01-01
2016,2,4793.44827586207,"01",2016-02-01
2016,3,6875.16129032258,"01",2016-03-01
2016,4,5365.33333333333,"01",2016-04-01
2016,5,3899.67741935484,"01",2016-05-01
2016,6,2117,"01",2016-06-01
2016,7,1939.03225806452,"01",2016-07-01
2016,8,1629.67741935484,"01",2016-08-01
2016,9,1530,"01",2016-09-01
2016,10,1579.67741935484,"01",2016-10-01
2016,11,2424.33333333333,"01",2016-11-01
2016,12,2711.29032258065,"01",2016-12-01
2017,1,3013.87096774194,"01",2017-01-01
